ID,Name,Concepticon_ID,Concepticon_Gloss,Parameter,Group,Dataset
fFBCCCC,female ego's father's brother's child's child's child's child,,,fFBCCCC,Cousins,varikin
fFZCCCC,female ego's father's sister's child's child's child's child,,,fFZCCCC,Cousins,varikin
fMBCCCC,female ego's mother's brother's child's child's child's child,,,fMBCCCC,Cousins,varikin
fMZCCCC,female ego's mother's sister's child's child's child's child,,,fMZCCCC,Cousins,varikin
mSSW,male ego's son's son's wife,,,mSSW,Affines,varikin
mSDH,male ego's son's daughter's husband,,,mSDH,Affines,varikin
mDSW,male ego's daughter's son's wife,,,mDSW,Affines,varikin
mDDH,male ego's daughter's daughter's husband,,,mDDH,Affines,varikin
fSSW,female ego's son's son's wife,,,fSSW,Affines,varikin
fSDH,female ego's son's daughter's husband,,,fSDH,Affines,varikin
fDSW,female ego's daughter's son's wife,,,fDSW,Affines,varikin
fDDH,female ego's daughter's daughter's husband,,,fDDH,Affines,varikin
mFFZD,male ego's father's father's sister's daughter,,,mFFZD,Cousins,varikin
mWBC,male ego's wife's brother's child,,,mWBC,Affines,varikin
mhB_FS,male speaker's paternal half brother,,,mhB_FS,Siblings,varikin
mhZ_FD,male speaker's paternal half sister,,,mhZ_FD,Siblings,varikin
mhB_MS,male speaker's maternal half brother,,,mhB_MS,Siblings,varikin
mhZ_MD,male speaker's maternal half sister,,,mhZ_MD,Siblings,varikin
fhB_FS,female speaker's paternal half brother,,,fhB_FS,Siblings,varikin
fhZ_FD,female speaker's paternal half sister,,,fhZ_FD,Siblings,varikin
fhB_MS,female speaker's maternal half brother,,,fhB_MS,Siblings,varikin
fhZ_MD,female speaker's maternal half sister,,,fhZ_MD,Siblings,varikin
meG,male speaker's elder sibling,,,meG,Siblings,varikin
feG,female speaker's elder sibling,,,feG,Siblings,varikin
myyG,"male speaker's younger younger sibing, i.e. last born",,,myyG,Siblings,varikin
fyyG,"female speaker's younger younger sibing, i.e. last born",,,fyyG,Siblings,varikin
meW,"male speaker's elder wife, i.e. his first wife because elder refers to the length of marriage in this context, rather than spousal age",,,meW,Affines,varikin
myW,"male speaker's younger wife, i.e. any wife married after the first one because younger refers to the length of marriage in this context, rather than spousal age",,,myW,Affines,varikin
mWeB,male speaker's wife's elder brother,,,mWeB,Affines,varikin
fHyZ,female speaker's husband's younger sister,,,fHyZ,Affines,varikin
fHeZ,female speaker's husband's elder sister,,,fHeZ,Affines,varikin
mBC,male speaker's brother's child,,,mBC,Nieces & Nephews,varikin
mZC,male speaker's sister's child,,,mZC,Nieces & Nephews,varikin
