ID,Label,Glottocode,ISO639P3code,Name,Family,Latitude,Longitude,Project,ProjectFile,EntryDate,Comment,Link
p_abuiabui1241,Abui_abui1241,abui1241,abz,Abui,,-8.31058,124.588,parabank,Abui abui1241.txt,20170621,,
p_achineseachi1257,Achinese_achi1257,achi1257,ace,Acehnese,Austronesian,3.90757,96.6032,parabank,Achinese achi1257.txt,20170718,,https://collectionscanada.gc.ca/obj/s4/f2/dsk2/ftp01/MQ37156.pdf
p_adangadan1251,Adang_adan1251,adan1251,adn,Adang,,-8.18958,124.448,parabank,Adang adan1251.txt,20170621,,
p_agobendekawamagob1244,Agob-Ende-Kawam_agob1244,agob1244,kit,Agob-Ende-Kawam,,-9.08521,142.532,parabank,Agob-Ende-Kawam agob1244.txt,20171204,,
p_aklanonakla1241,Aklanon_akla1241,akla1241,akl,Aklanon,Austronesian,11.5543,122.354,parabank,Aklanon akla1241.txt,20170614,,
p_alanganalan1249,Alangan_alan1249,alan1249,alj,Alangan,Austronesian,13.0982,121.022,parabank,Alangan alan1249.txt,20170616,,
p_ampibabolaujeampi1237,Ampibabo_Lauje_ampi1237,ampi1237,,Ampibabo,Austronesian,,,parabank,Ampibabo Lauje ampi1237.txt,20161207,,
p_anejomanei1239,Anejom_anei1239,anei1239,aty,Aneityum,Austronesian,-20.1864,169.825,parabank,Anejom anei1239.txt,20161207,,
p_aniwaaniw1237,Aniwa_aniw1237,aniw1237,,Aniwa,Austronesian,,,parabank,Aniwa aniw1237.txt,20170514,,
p_anutaanut1237,Anuta_anut1237,anut1237,aud,Anuta,Austronesian,-11.61,169.85,parabank,Anuta anut1237.txt,,,
p_arabanaarab1267a,Arabana_arab1267a,arab1267,ard,Arabana,Pama-Nyungan,-28.705,135.449,parabank,Arabana arab1267.txt,20170127,,
p_arakiarak1252,Araki_arak1252,arak1252,akr,Araki,Austronesian,-15.632997,166.952542,parabank,Araki arak1252.txt,20161205,,
p_arearearea1240,'Are'are_area1240,area1240,alu,'Are'are,Austronesian,-9.20699,161.158,parabank,'Are'are area1240.txt,20170407,,
p_ariamoukariamouk1240a,Aria_(Mouk-Aria)_mouk1240a,mouk1240,,Mouk,Austronesian,,,parabank,Aria (Mouk-Aria) mouk1240a.txt,,,
p_arosiaros1241,Arosi_aros1241,aros1241,aia,Arosi,Austronesian,-10.2441,161.432,parabank,Arosi aros1241.txt,20170404,,
p_aseraaser1237,Asera_aser1237,aser1237,,Asera,Austronesian,,,parabank,Asera aser1237.txt,20161209,,
p_asfauslanaust1271,ASF_Auslan_aust1271,aust1271,asf,Auslan,,-30.0,145.0,parabank,ASF_Auslan_aust1271.txt,20191115,,
p_atchinatch1238,Atchin_atch1238,atch1238,,Atchin,Austronesian,,,parabank,Atchin atch1238.txt,20170602,,
p_atoniuabmetouabm1237,Atoni_(Uab_Meto)_uabm1237,uabm1237,aoz,Uab Meto,Austronesian,-9.77284,124.144,parabank,Atoni (Uab Meto) uabm1237.txt,20170614,,
p_attaatta1244,Atta_atta1244,atta1244,,Atta,Austronesian,,,parabank,Atta atta1244.txt,,,
p_avatimeavat1244,Avatime_avat1244,avat1244,avn,Avatime,Atlantic-Congo,6.8688,0.41314,parabank,Avatime_avat1244.txt,20191112,,
p_avavabangasadialectkatb1237,Avava_(Bangasa_Dialect)_katb1237,katb1237,tmb,Avava,Austronesian,-16.2701,167.484,parabank,Avava (Bangasa Dialect) katb1237.txt,20171030,,
p_avavakatb1237a,Avava_katb1237a,katb1237,tmb,Avava,Austronesian,-16.2701,167.484,parabank,Avava katb1237a.txt,,,
p_avavaniviardialectkatb1237b,Avava_(Niviar_Dialect)_katb1237b,katb1237,tmb,Avava,Austronesian,-16.2701,167.484,parabank,Avava (Niviar Dialect) katb1237b.txt,,,
p_ayiwoayiw1239,Ayiwo_ayiw1239,ayiw1239,nfl,Äiwoo,Austronesian,-10.282595,166.328715,parabank,Ayiwo ayiw1239.txt,20180416,,
p_bacanesemalaybacanbaca1243,Bacanese_Malay_(Bacan)_baca1243,baca1243,btj,Bacanese Malay,Austronesian,-0.62275,127.49,parabank,Bacanese Malay (Bacan) baca1243.txt,20170608,Data incomplete and source word list requires interpretation,
p_bahonsuaibaho1237,Bahonsuai_baho1237,baho1237,bsu,Bahonsuai,Austronesian,-2.22572,121.707,parabank,Bahonsuai baho1237.txt,20161209,,
p_balaesangbala1314,Balaesang_bala1314,bala1314,bls,Balaesang,Austronesian,-0.05644,119.689,parabank,Balaesang bala1314.txt,20161207,,
p_balangaobala1310,Balangao_bala1310,bala1310,blw,Balangao,Austronesian,17.0994,121.272,parabank,Balangao bala1310.txt,,,
p_balinesebali1278,Balinese_bali1278,bali1278,ban,Balinese,Austronesian,-8.35714,115.075,parabank,Balinese bali1278.txt,20170718,,collectionscanada.gc.ca/obj/s4/f2/dsk2/ftp01/MQ37156.pdf
p_banjarbanj1239,Banjar_banj1239,banj1239,bjn,Banjar,Austronesian,0.747105,115.79,parabank,Banjar banj1239.txt,20170718,,collectionscanada.gc.ca/obj/s4/f2/dsk2/ftp01/MQ37156.pdf
p_bannonibann1247,Bannoni_bann1247,bann1247,bcm,Bannoni,Austronesian,-6.23061,155.128,parabank,Bannoni bann1247.txt,20170614,,
p_barabethanohano1246a,Barabet_(Hano)_hano1246a,hano1246,lml,Hano,Austronesian,-15.5432,168.167,parabank,Barabet (Hano) hano1246a.txt,,,
p_bardibard1254,Bardi_bard1254,bard1254,,Bardic,,,,parabank,Bardi bard1254.txt,,Bowern 2012:42-43,
p_bariokelabitbari1288,Bario_Kelabit_bari1288,bari1288,,Bario,Austronesian,,,parabank,Bario Kelabit bari1288.txt,20170614,,https://books.google.de/books?id=ScykJxGVNXYC&pg=PA96&lpg=PA96&dq=kelabit+kinship&source=bl&ots=b6oYHySdrG&sig=OqoGIumbOlPCdywSbgn-6LYy82Q&hl=en&sa=X&ved=0ahUKEwif99qo87zUAhWHKVAKHbHbApoQ6AEIKDAA#v=onepage&q=kelabit%20kinship&f=false
p_barokkarubaro1253,Barok_(Karu)_baro1253,baro1253,bjk,Barok,Austronesian,-3.47672,152.193,parabank,Barok (Karu) baro1253.txt,20170326,,
p_bataktobabata1289,Batak_Toba_bata1289,bata1289,bbc,Batak Toba,Austronesian,2.35498,99.1761,parabank,Batak Toba bata1289.txt,20170718,,collectionscanada.gc.ca/obj/s4/f2/dsk2/ftp01/MQ37156.pdf
p_baujagoibidayuhbaub1235,Bau-Jagoi_Bidayuh_baub1235,baub1235,sne,Bau-Jagoi Bidayuh,Austronesian,1.54467,109.985,parabank,Bau-Jagoi Bidayuh baub1235.txt,20170717,,http://amangalui.blogspot.de/2012/02/kinship-in-bidayuh-community.html
p_biakbiak1248,Biak_biak1248,biak1248,bhw,Biak,Austronesian,-0.9523,135.879,parabank,Biak biak1248.txt,20170709,,
p_bierebobier1244,Bierebo_bier1244,bier1244,bnk,Bierebo,Austronesian,-16.6663,168.154,parabank,Bierebo bier1244.txt,,,
p_bignambasbign1238,Big_Nambas_bign1238,bign1238,nmb,Big Nambas,Austronesian,-16.0903,167.239,parabank,Big Nambas bign1238.txt,20171026,,
p_bignambasbign1238a,Big_Nambas_bign1238a,bign1238,nmb,Big Nambas,Austronesian,-16.0903,167.239,parabank,Big Nambas bign1238a.txt,,,
p_bilibilbilb1241,Bilibil_bilb1241,bilb1241,brz,Bilibil,Austronesian,-5.26505,145.764,parabank,Bilibil bilb1241.txt,20170614,,
