"","word","ipa","parameter","description","alternative","comment","translation","glottocode","notes"
"1","rahalàhy, zòky",NA,"meB","male ego's older brother",NA,NA,NA,"plat1254",NA
"2","rahalàhy, zàndry",NA,"myB","male ego's younger brother",NA,NA,NA,"plat1254",NA
"3","anadàhy, zòky",NA,"feB","female ego's older brother",NA,NA,NA,"plat1254",NA
"4","anadàhy, zàndry",NA,"fyB","female ego's younger brother",NA,NA,NA,"plat1254",NA
"5","rahavàvy, zòky",NA,"meZ","male ego's older sister",NA,NA,NA,"plat1254",NA
"6","rahavàvy, zàndry",NA,"myZ","male ego's younger sister",NA,NA,NA,"plat1254",NA
"7","anavàvy, zòky",NA,"feZ","female ego's older sister",NA,NA,NA,"plat1254",NA
"8","anavàvy, zàndry",NA,"fyZ","female ego's younger sister",NA,NA,NA,"plat1254",NA
"9","ray",NA,"mF","male ego's father",NA,NA,NA,"plat1254",NA
"10","rèny ",NA,"mM","male ego's mother",NA,NA,NA,"plat1254",NA
"11","ray",NA,"fF","female ego's father",NA,NA,NA,"plat1254",NA
"12","rèny ",NA,"fM","female ego's mother",NA,NA,NA,"plat1254",NA
"13","zànaka làhy ",NA,"mS","male ego's son",NA,NA,NA,"plat1254",NA
"14","zànaka làhy ",NA,"fS","female ego's son",NA,NA,NA,"plat1254",NA
"15","zànaka vàvy ",NA,"mD","male ego's daughter",NA,NA,NA,"plat1254",NA
"16","zànaka vàvy ",NA,"fD","female ego's daughter",NA,NA,NA,"plat1254",NA
"17","zàfy ",NA,"mSS","male ego's son's son",NA,NA,NA,"plat1254",NA
"18","zàfy ",NA,"mSD","male ego's son's daughter",NA,NA,NA,"plat1254",NA
"19","zàfy ",NA,"mDS","male ego's daughter's son",NA,NA,NA,"plat1254",NA
"20","zàfy ",NA,"mDD","male ego's daughter's daughter",NA,NA,NA,"plat1254",NA
"21","zàfy ",NA,"fSS","female ego's son's son ",NA,NA,NA,"plat1254",NA
"22","zàfy ",NA,"fSD","female ego's son's daughter ",NA,NA,NA,"plat1254",NA
"23","zàfy ",NA,"fDS","female ego's daughter's son ",NA,NA,NA,"plat1254",NA
"24","zàfy ",NA,"fDD","female ego's daugher's daughter ",NA,NA,NA,"plat1254",NA
"25","raibè",NA,"mFF","male ego's father‘s father",NA,NA,NA,"plat1254",NA
"26","renibè ",NA,"mFM","male ego's father's mother",NA,NA,NA,"plat1254",NA
"27","raibè ",NA,"mMF","male ego's mother's father",NA,NA,NA,"plat1254",NA
"28","renibè ",NA,"mMM","male ego's mother's mother",NA,NA,NA,"plat1254",NA
"29","raibè ",NA,"fFF","female ego's father's father ",NA,NA,NA,"plat1254",NA
"30","renibè ",NA,"fFM","female ego's father's mother ",NA,NA,NA,"plat1254",NA
"31","raibè ",NA,"fMF","female ego's mother's father ",NA,NA,NA,"plat1254",NA
"32","renibè ",NA,"fMM","female ego's mother's mother ",NA,NA,NA,"plat1254",NA
"33","zanadrahalàhy ",NA,"meBS","male ego's older brother's son ",NA,NA,NA,"plat1254",NA
"34","zanadrahalàhy ",NA,"myBS","male ego's younger brother's son ",NA,NA,NA,"plat1254",NA
"35","zanadrahalàhy ",NA,"meZS","male ego's older sister's son ",NA,NA,NA,"plat1254",NA
"36","zanadrahalàhy ",NA,"myZS","male ego's younger sister's son ",NA,NA,NA,"plat1254",NA
"37","zanadrahavàvy ",NA,"meBD","male ego's older brother's daughter ",NA,NA,NA,"plat1254",NA
"38","zanadrahavàvy ",NA,"myBD","male ego's younger brother's daughter ",NA,NA,NA,"plat1254",NA
"39","zanadrahavàvy ",NA,"meZD","male ego's older sister's daughter ",NA,NA,NA,"plat1254",NA
"40","zanadrahavàvy ",NA,"myZD","male ego's younger sister's daughter ",NA,NA,NA,"plat1254",NA
"41","zanadrahalàhy ",NA,"feBS","female ego's older brother's son ",NA,NA,NA,"plat1254",NA
"42","zanadrahalàhy ",NA,"fyBS","female ego's younger brother's son ",NA,NA,NA,"plat1254",NA
"43","zanadrahalàhy ",NA,"feZS","female ego's older sister's son ",NA,NA,NA,"plat1254",NA
"44","zanadrahalàhy ",NA,"fyZS","female ego's younger sister's son ",NA,NA,NA,"plat1254",NA
"45","zanadrahavàvy ",NA,"feBD","female ego's older brother's daughter ",NA,NA,NA,"plat1254",NA
"46","zanadrahavàvy ",NA,"fyBD","female ego's younger brother's daughter ",NA,NA,NA,"plat1254",NA
"47","zanadrahavàvy ",NA,"feZD","female ego's older sister's daughter ",NA,NA,NA,"plat1254",NA
"48","zanadrahavàvy ",NA,"fyZD","female ego's younger sister's daughter ",NA,NA,NA,"plat1254",NA
"49","rahalahindrày ",NA,"mFeB","male ego's father's older brother ",NA,NA,NA,"plat1254",NA
"50","rahalahindrày ",NA,"mFyB","male ego's father's younger brother ",NA,NA,NA,"plat1254",NA
"51","anabavindrày ",NA,"mFeZ","male ego's father's older sister ",NA,NA,NA,"plat1254",NA
"52","anabavindrày ",NA,"mFyZ","male ego's father's younger sister ",NA,NA,NA,"plat1254",NA
"53","anadahindrèny ",NA,"mMeB","male ego's mother's older brother ",NA,NA,NA,"plat1254",NA
"54","anadahindrèny ",NA,"mMyB","male ego's mother's younger brother ",NA,NA,NA,"plat1254",NA
"55","rahavavindrèny ",NA,"mMeZ","male ego's mother's older sister ",NA,NA,NA,"plat1254",NA
"56","rahavavindrèny ",NA,"mMyZ","male ego's mother's younger sister ",NA,NA,NA,"plat1254",NA
"57","rahalahindrày ",NA,"fFeB","female ego's father's older brother ",NA,NA,NA,"plat1254",NA
"58","rahalahindrày ",NA,"fFyB","female ego's father's younger brother ",NA,NA,NA,"plat1254",NA
"59","anabavindrày ",NA,"fFeZ","female ego's father's older sister ",NA,NA,NA,"plat1254",NA
"60","anabavindrày ",NA,"fFyZ","female ego's father's younger sister ",NA,NA,NA,"plat1254",NA
"61","anadahindrèny ",NA,"fMeB","female ego's mother's older brother ",NA,NA,NA,"plat1254",NA
"62","anadahindrèny ",NA,"fMyB","female ego's mother's younger brother ",NA,NA,NA,"plat1254",NA
"63","rahavavindrèny ",NA,"fMeZ","female ego's mother's older sister ",NA,NA,NA,"plat1254",NA
"64","rahavavindrèny ",NA,"fMyZ","female ego's mother's younger sister ",NA,NA,NA,"plat1254",NA
