"","word","ipa","parameter","description","alternative","comment","translation","glottocode","notes"
"65","vàdy ",NA,"mW","male ego's wife",NA,NA,NA,"plat1254",NA
"66","vàdy ",NA,"fH","female ego‘s husband",NA,NA,NA,"plat1254",NA
"67","vinànto làhy ",NA,"mDH","male ego's daughter's husband",NA,NA,NA,"plat1254",NA
"68","vinànto làhy ",NA,"fDH","female ego's daughter's husband",NA,NA,NA,"plat1254",NA
"69","vinànto vàvy ",NA,"mSW","male ego's son's wife",NA,NA,NA,"plat1254",NA
"70","vinànto vàvy ",NA,"fSW","female ego's son's wife",NA,NA,NA,"plat1254",NA
"71","rafozandàhy ",NA,"mWF","male ego's wife's father",NA,NA,NA,"plat1254",NA
"72","rafozambàvy ",NA,"mWM","male ego's wife's mother",NA,NA,NA,"plat1254",NA
"73","zàotra, ranàotra",NA,"mWB","male ego's wife's brother",NA,NA,NA,"plat1254",NA
"74","zàotra, ranàotra",NA,"mWZ","male ego's wife's sister",NA,NA,NA,"plat1254",NA
"75","rafozandàhy ",NA,"fHF","female ego's husband's father",NA,NA,NA,"plat1254",NA
"76","rafozambàvy ",NA,"fHM","female ego's husband's mother",NA,NA,NA,"plat1254",NA
"77","zàotra, ranàotra",NA,"fHB","female ego's husband's brother",NA,NA,NA,"plat1254",NA
"78","zàotra, ranàotra",NA,"fHZ","female ego's husband's sister",NA,NA,NA,"plat1254",NA
"79","zàotra, ranàotra",NA,"mBW","male ego's brother's wife",NA,NA,NA,"plat1254",NA
"80","zàotra, ranàotra",NA,"fBW","female ego's brother's wife",NA,NA,NA,"plat1254",NA
"81","zàotra, ranàotra",NA,"mZH","male ego's sister's husband",NA,NA,NA,"plat1254",NA
"82","zàotra, ranàotra",NA,"fZH","female ego's sister's husband",NA,NA,NA,"plat1254",NA
"83","rahalàhy ",NA,"mFBS","male ego's father's brother's son ",NA,NA,NA,"plat1254",NA
"84","rahalàhy ",NA,"mFZS","male ego's father's sister's son ",NA,NA,NA,"plat1254",NA
"85","rahalàhy ",NA,"mMBS","male ego's mother's brother's son ",NA,NA,NA,"plat1254",NA
"86","rahalàhy ",NA,"mMZS","male ego's mother's sister's son ",NA,NA,NA,"plat1254",NA
"87","rahalàhy ",NA,"mFBD","male ego's father's brother's daughter ",NA,NA,NA,"plat1254",NA
"88","rahalàhy ",NA,"mFZD","male ego's father's sister's daughter ",NA,NA,NA,"plat1254",NA
"89","rahalàhy ",NA,"mMBD","male ego's mother's brother's daughter ",NA,NA,NA,"plat1254",NA
"90","rahalàhy ",NA,"mMZD","male ego's mother's sister's daughter ",NA,NA,NA,"plat1254",NA
"91","rahalàhy ",NA,"fFBS","female ego's father's brother's son ",NA,NA,NA,"plat1254",NA
"92","rahalàhy ",NA,"fFZS","female ego's father's sister's son ",NA,NA,NA,"plat1254",NA
"93","rahalàhy ",NA,"fMBS","female ego's mother's brother's son ",NA,NA,NA,"plat1254",NA
"94","rahalàhy ",NA,"fMZS","female ego's mother's sister's son ",NA,NA,NA,"plat1254",NA
"95","rahalàhy ",NA,"fFBD","female ego's father's brother's daughter ",NA,NA,NA,"plat1254",NA
"96","rahalàhy ",NA,"fFZD","female ego's father's sister's daughter ",NA,NA,NA,"plat1254",NA
"97","rahalàhy ",NA,"fMBD","female ego's mother's brother's daughter ",NA,NA,NA,"plat1254",NA
"98","rahalàhy ",NA,"fMZD","female ego's mother's sister's daughter ",NA,NA,NA,"plat1254",NA
