parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment,
meB,yac̷u-g,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
myB,yac̷u-g,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
meZ,uba-g,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
myZ,uba-g,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFeB,apa-'hu yači,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFyB,apa-'hu yači,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFeZ,apa-'hu uma-yi,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFyZ,apa-'hu uma-yi,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMeZ,u'ma,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMeZ,uma-yui,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMyZ,u'ma,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMyZ,uma-yui,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMeB,yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMyB,yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
meBS,awɨ-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
myBS,awɨ-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
meBD,awɨt,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
myBD,awɨt,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
meZS,awɨ-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
myZS,awɨ-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
meZD,awɨt,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
myZD,awɨt,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFeBS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFyBS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFeZS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFyZS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFeBD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFyBD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFeZD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFyZD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMeBS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMyBS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMeZS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMyZS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMeBD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMyBD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMeZD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMyZD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFBeS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFByS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFZeS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFZyS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFBeD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFByD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFZeD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFZyD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMBeS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMByS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMZeS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMZyS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMBeD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMByD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMZeD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mMZyD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fB,yac̷u-g,,,,CHIB3,deicat_aguaruna_2015,,
fZ,uba-g,,,,CHIB3,deicat_aguaruna_2015,,
fF,apa-g,,,,CHIB3,deicat_aguaruna_2015,,
fM,duku,,,,CHIB3,deicat_aguaruna_2015,,
fC,uči-g,,,,CHIB3,deicat_aguaruna_2015,,
fS,uči-g,,,,CHIB3,deicat_aguaruna_2015,,
fD,nawanhi,,,,CHIB3,deicat_aguaruna_2015,,
fFF,apa-č,,,,CHIB3,deicat_aguaruna_2015,,
fFM,duku-č,,,,CHIB3,deicat_aguaruna_2015,,
fMF,apa-č,,,,CHIB3,deicat_aguaruna_2015,,
fMM,duku-č,,,,CHIB3,deicat_aguaruna_2015,,
fSS,tiha-g,,,,CHIB3,deicat_aguaruna_2015,,
fSD,tiha-g,,,,CHIB3,deicat_aguaruna_2015,,
fDS,tiha-g,,,,CHIB3,deicat_aguaruna_2015,,
