"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment","comment.1"
"meB","tata",,"male ego's older brother",,,"nash1974matriliny","",
"myB","inalaman",,"male ego's younger brother",,,"nash1974matriliny","",
"feB","tata",,"female ego's older brother",,,"nash1974matriliny","",
"fyB","inalaman",,"female ego's younger brother",,,"nash1974matriliny","",
"meZ","mama",,"male ego's older sister",,,"nash1974matriliny","",
"myZ","inalamanda",,"male ego's younger sister",,,"nash1974matriliny","",
"feZ","mama",,"female ego's older sister",,,"nash1974matriliny","",
"fyZ","inalamanda",,"female ego's younger sister",,,"nash1974matriliny","",
"mF","mma",,"male ego's father",,,"nash1974matriliny","",
"mM","ngo",,"male ego's mother",,,"nash1974matriliny","",
"fF","mma",,"female ego's father",,,"nash1974matriliny","",
"fM","ngo",,"female ego's mother",,,"nash1974matriliny","",
"mS","inuli",,"male ego's son",,,"nash1974matriliny","",
"fS","inuli",,"female ego's son",,,"nash1974matriliny","",
"mD","inola",,"male ego's daughter",,,"nash1974matriliny","",
"fD","inola",,"female ego's daughter",,,"nash1974matriliny","",
"mSS","inalaman",,"male ego's son's son",,,"nash1974matriliny","",
"mSD","inalamanda",,"male ego's son's daughter",,,"nash1974matriliny","",
"mDS","inobe",,"male ego's daughter's son",,,"nash1974matriliny","",
"mDD","inobe",,"male ego's daughter's daughter",,,"nash1974matriliny","",
"fSS","inalaman",,"female ego's son's son",,,"nash1974matriliny","",
"fSD","inalamanda",,"female ego's son's daughter",,,"nash1974matriliny","",
"fDS","inobe",,"female ego's daughter's son",,,"nash1974matriliny","",
"fDD","inobe",,"female ego's daugher's daughter",,,"nash1974matriliny","",
"mFF","tata",,"male ego's father‘s father",,,"nash1974matriliny","",
"mFM","mama",,"male ego's father's mother",,,"nash1974matriliny","",
"mMF","kaia",,"male ego's mother's father",,,"nash1974matriliny","",
"mMM","tete",,"male ego's mother's mother",,,"nash1974matriliny","",
"fFF","tata",,"female ego's father's father",,,"nash1974matriliny","",
"fFM","mama",,"female ego's father's mother",,,"nash1974matriliny","",
"fMF","kaia",,"female ego's mother's father",,,"nash1974matriliny","",
"fMM","tete",,"female ego's mother's mother",,,"nash1974matriliny","",
"meBS","inuli",,"male ego's older brother's son",,,"nash1974matriliny","",
"myBS","inuli",,"male ego's younger brother's son",,,"nash1974matriliny","",
"meZS","inabalum",,"male ego's older sister's son",,,"nash1974matriliny","",
"myZS","inabalum",,"male ego's younger sister's son",,,"nash1974matriliny","",
"meBD","inola",,"male ego's older brother's daughter",,,"nash1974matriliny","",
"myBD","inola",,"male ego's younger brother's daughter",,,"nash1974matriliny","",
"meZD","inabaluna",,"male ego's older sister's daughter",,,"nash1974matriliny","",
"myZD","inabaluna",,"male ego's younger sister's daughter",,,"nash1974matriliny","",
"feBS","inabalum",,"female ego's older brother's son",,,"nash1974matriliny","",
"fyBS","inabalum",,"female ego's younger brother's son",,,"nash1974matriliny","",
"feZS","inuli",,"female ego's older sister's son",,,"nash1974matriliny","",
"fyZS","inuli",,"female ego's younger sister's son",,,"nash1974matriliny","",
"feBD","inabaluna",,"female ego's older brother's daughter",,,"nash1974matriliny","",
"fyBD","inabaluna",,"female ego's younger brother's daughter",,,"nash1974matriliny","",
"feZD","inola",,"female ego's older sister's daughter",,,"nash1974matriliny","",
"fyZD","inola",,"female ego's younger sister's daughter",,,"nash1974matriliny","",
"mFeB","mma",,"male ego's father's older brother",,,"nash1974matriliny","",
"mFyB","mma",,"male ego's father's younger brother",,,"nash1974matriliny","",
"mFeZ","kabo",,"male ego's father's older sister",,,"nash1974matriliny","",
"mFyZ","kabo",,"male ego's father's younger sister",,,"nash1974matriliny","",
"mMeB","papa",,"male ego's mother's older brother",,,"nash1974matriliny","",
"mMyB","papa",,"male ego's mother's younger brother",,,"nash1974matriliny","",
"mMeZ","ngo",,"male ego's mother's older sister",,,"nash1974matriliny","",
"mMyZ","ngo",,"male ego's mother's younger sister",,,"nash1974matriliny","",
"fFeB","mma",,"female ego's father's older brother",,,"nash1974matriliny","",
"fFyB","mma",,"female ego's father's younger brother",,,"nash1974matriliny","",
"fFeZ","kabo",,"female ego's father's older sister",,,"nash1974matriliny","",
"fFyZ","kabo",,"female ego's father's younger sister",,,"nash1974matriliny","",
"fMeB","papa",,"female ego's mother's older brother",,,"nash1974matriliny","",
"fMyB","papa",,"female ego's mother's younger brother",,,"nash1974matriliny","",
"fMeZ","ngo",,"female ego's mother's older sister",,,"nash1974matriliny","",
"fMyZ","ngo",,"female ego's mother's younger sister",,,"nash1974matriliny","",
"mW","ina",,"male ego's wife",,,"nash1974matriliny","",
"fH","ing",,"female ego‘s husband",,,"nash1974matriliny","",
"mDH","inola",,"male ego's daughter's husband",,,"nash1974matriliny","",
"fDH","inola",,"female ego's daughter's husband",,,"nash1974matriliny","",
"mSW","inabaluna",,"male ego's son's wife",,,"nash1974matriliny","",
"fSW","inabaluna",,"female ego's son's wife",,,"nash1974matriliny","",
"mWF","inola",,"male ego's wife's father",,,"nash1974matriliny","",
"mWM","kabo",,"male ego's wife's mother",,,"nash1974matriliny","",
"mWB","inoli",,"male ego's wife's brother",,,"nash1974matriliny","",
"mWZ","mama, inobe",,"male ego's wife's sister",,,"nash1974matriliny","mama = mWeZ; inobe = mWyZ",
"fHF","papa",,"female ego's husband's father",,,"nash1974matriliny","",
"fHM","kabo",,"female ego's husband's mother",,,"nash1974matriliny","",
"fHB","tata, kaia, inalaman",,"female ego's husband's brother",,,"nash1974matriliny","tata, kaia = fHeB; inalaman = fHyB",
"fHZ","inomas",,"female ego's husband's sister",,,"nash1974matriliny","",
"mBW","inobe",,"male ego's brother's wife",,,"nash1974matriliny","inobe = myBW",
"fBW","inomas",,"female ego's brother's wife",,,"nash1974matriliny","",
"mZH","tata, inoli",,"male ego's sister's husband",,,"nash1974matriliny","tata = eZH; inoli= mZH",
"fZH","tata, kaia, inalaman",,"female ego's sister's husband",,,"nash1974matriliny","tata, kaia = feZH; inalaman = fyZH",
"mFBeS","tata",,"male ego‘s father‘s brother‘s older son",,,"nash1974matriliny","",
"mFByS","inalaman",,"male ego‘s father‘s brother‘s younger son",,,"nash1974matriliny","",
"mFBeD","mama",,"male ego‘s father‘s brother‘s older daughter",,,"nash1974matriliny","",
"mFByD","inalamanda",,"male ego‘s father‘s brother‘s younger daughter",,,"nash1974matriliny","",
"mFZeS","inoli",,"male ego‘s father‘s sisters‘s older son",,,"nash1974matriliny","",
"mFZyS","inoli",,"male ego‘s father‘s sisters‘s younger son",,,"nash1974matriliny","",
"mFZeD","mama, inobe",,"male ego‘s father‘s sisters‘s older daughter",,,"nash1974matriliny","",
"mFZyD","inalamanda, inobe",,"male ego‘s father‘s sisters‘s younger daughter",,,"nash1974matriliny","",
"mMBeS","inoli",,"male ego‘s mother‘s brother‘s older son",,,"nash1974matriliny","",
"mMByS","inoli",,"male ego‘s mother‘s brother‘s younger son",,,"nash1974matriliny","",
