parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment,,,,,,,,,
fP,amang,"amáŋ,",,,YE1(1),noauthor_ket_nodate,plural form meaning 'parents'. Derived from Proto-Yeniseian 'amə' meaning mother.,,,,,,,,,
fF,ob,ōˑp,,,YE1(8),noauthor_ket_nodate,,,,,,,,,,
fM,am,āˑm,,,YE1(1),noauthor_ket_nodate,,,,,,,,,,
fC,dil,d!̄ˑl,,täte!(voc. form),YE1(4),noauthor_ket_nodate,,,,,,,,,,
fS,pyvo,pɨvo,,,YE1(10),noauthor_ket_nodate,source lists both terms,,,,,,,,,
fS,hyp,hɨˀp,,,YE1(10),noauthor_ket_nodate,,,,,,,,,,
fFF,qibbat,qīˑp,,,YE1(11),noauthor_ket_nodate,qibbat is a term for 'class of elder male relatives. qīˑp for specific 'grandfather'.,,,,,,,,,
fFF,qip,qīˑp,,,YE1(11),noauthor_ket_nodate,,,,,,,,,,
fFM,qima,,,,YE1(11),noauthor_ket_nodate,,,,,,,,,,
fMF,qibbat,,,,YE1(11),noauthor_ket_nodate,,,,,,,,,,
fMF,qip,qīˑp,,,YE1(11),noauthor_ket_nodate,,,,,,,,,,
fMM,qima,,,,YE1(11),noauthor_ket_nodate,,,,,,,,,,
fCC,qaloq,,,,YE1(11),noauthor_ket_nodate,,,,,,,,,,
fSS,qä qal,,,,YE1(11),noauthor_ket_nodate,Meaning eldest grandson. SK dialect 'qä qal'. CK dialect qeˀ qaloq.,,,,,,,,,
fFZD,amdus,,,,YE1(3),noauthor_ket_nodate,,,,,,,,,,
fFBD,amdus,,,,YE1(3),noauthor_ket_nodate,,,,,,,,,,
fMBD,amdus,,,,YE1(3),noauthor_ket_nodate,,,,,,,,,,
fMZD,amdus,,,,YE1(3),noauthor_ket_nodate,,,,,,,,,,
fFBS,amdun,,,,YE1(3),noauthor_ket_nodate,,,,,,,,,,
fFZS,amdun,,,,YE1(3),noauthor_ket_nodate,,,,,,,,,,
fMBS,amdun,,,,YE1(3),noauthor_ket_nodate,,,,,,,,,,
