"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment","comment.1"
"fFByD","nemneng",,"female ego‘s father‘s brother‘s younger daughter",,,"bloodSemen","",
"fFZeS","nemfík",,"female ego‘s father‘s sisters‘s older son",,,"bloodSemen","",
"fFZyS","nemning",,"female ego‘s father‘s sisters‘s younger son",,,"bloodSemen","",
"fFZeD","nemyén",,"female ego‘s father‘s sisters‘s older daughter",,,"bloodSemen","",
"fFZyD","nemneng",,"female ego‘s father‘s sisters‘s younger daughter",,,"bloodSemen","",
"fMBeS","neik",,"female ego‘s mother‘s brother‘s older son",,,"bloodSemen","",
"fMByS","neik",,"female ego‘s mother‘s brother‘s younger son",,,"bloodSemen","",
"fMBeD","neik",,"female ego‘s mother‘s brother‘s older daughter",,,"bloodSemen","",
"fMByD","neik",,"female ego‘s mother‘s brother‘s younger daughter",,,"bloodSemen","",
"fMZeS","kabérim",,"female ego‘s mother‘s sisters‘s older son",,,"bloodSemen","",
"fMZyS","kabérim",,"female ego‘s mother‘s sisters‘s younger son",,,"bloodSemen","",
"fMZeD","kabérim",,"female ego‘s mother‘s sisters‘s older daughter",,,"bloodSemen","",
"fMZyD","kabérim",,"female ego‘s mother‘s sisters‘s younger daughter",,,"bloodSemen","",
