"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment","comment.1"
"meB","nemfík",,"male ego's older brother",,,"bloodSemen","",
"myB","nemning",,"male ego's younger brother",,,"bloodSemen","",
"feB","nemfík",,"female ego's older brother",,,"bloodSemen","",
"fyB","nemning",,"female ego's younger brother",,,"bloodSemen","",
"meZ","nemyén",,"male ego's older sister",,,"bloodSemen","",
"myZ","nemneng",,"male ego's younger sister",,,"bloodSemen","",
"feZ","nemyén",,"female ego's older sister",,,"bloodSemen","",
"fyZ","nemneng",,"female ego's younger sister",,,"bloodSemen","",
"mF","nátim",,"male ego's father",,,"bloodSemen","",
"mM","nangin",,"male ego's mother",,,"bloodSemen","",
"fF","nátim",,"female ego's father",,,"bloodSemen","",
"fM","nangin",,"female ego's mother",,,"bloodSemen","",
"mS","nenim",,"male ego's son",,,"bloodSemen","",
"fS","nenim",,"female ego's son",,,"bloodSemen","",
"mD","nenúm",,"male ego's daughter",,,"bloodSemen","",
"fD","nenúm",,"female ego's daughter",,,"bloodSemen","",
"mSS","murukón",,"male ego's son's son",,,"bloodSemen","",
"mSD","murukón",,"male ego's son's daughter",,,"bloodSemen","",
"mDS","murukón",,"male ego's daughter's son",,,"bloodSemen","",
"mDD","murukón",,"male ego's daughter's daughter",,,"bloodSemen","",
"fSS","murukón",,"female ego's son's son ",,,"bloodSemen","",
"fSD","murukón",,"female ego's son's daughter ",,,"bloodSemen","",
"fDS","murukón",,"female ego's daughter's son ",,,"bloodSemen","",
"fDD","murukón",,"female ego's daugher's daughter ",,,"bloodSemen","",
"mFF","awárek",,"male ego's father‘s father",,,"bloodSemen","",
"mFM","awók",,"male ego's father's mother",,,"bloodSemen","",
"mMF","awárek",,"male ego's mother's father",,,"bloodSemen","",
"mMM","awók",,"male ego's mother's mother",,,"bloodSemen","",
"fFF","awárek",,"female ego's father's father ",,,"bloodSemen","",
"fFM","awók",,"female ego's father's mother ",,,"bloodSemen","",
"fMF","awárek",,"female ego's mother's father ",,,"bloodSemen","",
"fMM","awók",,"female ego's mother's mother ",,,"bloodSemen","",
"meBS","aning",,"male ego's older brother's son ",,,"bloodSemen","",
"myBS","aning",,"male ego's younger brother's son ",,,"bloodSemen","",
"meZS","móm",,"male ego's older sister's son ",,,"bloodSemen","",
"myZS","móm",,"male ego's younger sister's son ",,,"bloodSemen","",
"meBD","aning",,"male ego's older brother's daughter ",,,"bloodSemen","",
"myBD","aning",,"male ego's younger brother's daughter ",,,"bloodSemen","",
"meZD","móm",,"male ego's older sister's daughter ",,,"bloodSemen","",
"myZD","móm",,"male ego's younger sister's daughter ",,,"bloodSemen","",
"feBS","nemning",,"female ego's older brother's son ",,,"bloodSemen","",
"fyBS","nemning",,"female ego's younger brother's son ",,,"bloodSemen","",
"feZS","okeneng",,"female ego's older sister's son ",,,"bloodSemen","",
"fyZS","okeneng",,"female ego's younger sister's son ",,,"bloodSemen","",
"feBD","nemneng",,"female ego's older brother's daughter ",,,"bloodSemen","",
"fyBD","nemneng",,"female ego's younger brother's daughter ",,,"bloodSemen","",
"feZD","okeneng",,"female ego's older sister's daughter ",,,"bloodSemen","",
"fyZD","okeneng",,"female ego's younger sister's daughter ",,,"bloodSemen","",
"mFeB","awárek, aning",,"male ego's father's older brother ",,,"bloodSemen","",
"mFyB","aning",,"male ego's father's younger brother ",,,"bloodSemen","",
"mFeZ","nemyén",,"male ego's father's older sister ",,,"bloodSemen","",
"mFyZ","nemyén",,"male ego's father's younger sister ",,,"bloodSemen","",
"mMeB","móm",,"male ego's mother's older brother ",,,"bloodSemen","",
"mMyB","móm",,"male ego's mother's younger brother ",,,"bloodSemen","",
"mMeZ","awók, owkeneng",,"male ego's mother's older sister ",,,"bloodSemen","",
"mMyZ","okeneng",,"male ego's mother's younger sister ",,,"bloodSemen","",
"fFeB","awárek, aning",,"female ego's father's older brother ",,,"bloodSemen","",
"fFyB","aning",,"female ego's father's younger brother ",,,"bloodSemen","",
"fFeZ","nemyén",,"female ego's father's older sister ",,,"bloodSemen","",
"fFyZ","nemyén",,"female ego's father's younger sister ",,,"bloodSemen","",
"fMeB","móm",,"female ego's mother's older brother ",,,"bloodSemen","",
"fMyB","móm",,"female ego's mother's younger brother ",,,"bloodSemen","",
"fMeZ","awók, owkeneng",,"female ego's mother's older sister ",,,"bloodSemen","",
"fMyZ","okeneng",,"female ego's mother's younger sister ",,,"bloodSemen","",
"mW","karel",,"male ego's wife",,,"bloodSemen","",
"fH","",,"female ego‘s husband",,,"bloodSemen","Designating the husband is by name or status is avoided",
"mDH","yamól",,"male ego's daughter's husband",,,"bloodSemen","",
"fDH","yamól",,"female ego's daughter's husband",,,"bloodSemen","",
"mSW","imárek",,"male ego's son's wife",,,"bloodSemen","",
"fSW","imók",,"female ego's son's wife",,,"bloodSemen","",
"mWF","yamól",,"male ego's wife's father",,,"bloodSemen","",
"mWM","yamól",,"male ego's wife's mother",,,"bloodSemen","",
"mWB","yamól, básim",,"male ego's wife's brother",,,"bloodSemen","",
"mWZ","yamól, básim",,"male ego's wife's sister",,,"bloodSemen","",
"fHF","imárek",,"female ego's husband's father",,,"bloodSemen","",
"fHM","imók",,"female ego's husband's mother",,,"bloodSemen","",
"fHB","imárek, kabér",,"female ego's husband's brother",,,"bloodSemen","",
"fHZ","imók, kabér",,"female ego's husband's sister",,,"bloodSemen","",
"mBW","imárek, kabér",,"male ego's brother's wife",,,"bloodSemen","",
"fBW","imók, kabér",,"female ego's brother's wife",,,"bloodSemen","",
"mZH","yamól",,"male ego's sister's husband",,,"bloodSemen","",
"fZH","básim",,"female ego's sister's husband",,,"bloodSemen","",
"mFBeS","nemfík",,"male ego‘s father‘s brother‘s older son",,,"bloodSemen","",
"mFByS","nemning",,"male ego‘s father‘s brother‘s younger son",,,"bloodSemen","",
"mFBeD","nemyén",,"male ego‘s father‘s brother‘s older daughter",,,"bloodSemen","",
"mFByD","nemneng",,"male ego‘s father‘s brother‘s younger daughter",,,"bloodSemen","",
"mFZeS","nemfík",,"male ego‘s father‘s sisters‘s older son",,,"bloodSemen","",
"mFZyS","nemning",,"male ego‘s father‘s sisters‘s younger son",,,"bloodSemen","",
"mFZeD","nemyén",,"male ego‘s father‘s sisters‘s older daughter",,,"bloodSemen","",
"mFZyD","nemneng",,"male ego‘s father‘s sisters‘s younger daughter",,,"bloodSemen","",
"mMBeS","neik",,"male ego‘s mother‘s brother‘s older son",,,"bloodSemen","",
"mMByS","neik",,"male ego‘s mother‘s brother‘s younger son",,,"bloodSemen","",
"mMBeD","neik",,"male ego‘s mother‘s brother‘s older daughter",,,"bloodSemen","",
"mMByD","neik",,"male ego‘s mother‘s brother‘s younger daughter",,,"bloodSemen","",
"mMZeS","kabérim",,"male ego‘s mother‘s sisters‘s older son",,,"bloodSemen","",
"mMZyS","kabérim",,"male ego‘s mother‘s sisters‘s younger son",,,"bloodSemen","",
"mMZeD","kabérim",,"male ego‘s mother‘s sisters‘s older daughter",,,"bloodSemen","",
"mMZyD","kabérim",,"male ego‘s mother‘s sisters‘s younger daughter",,,"bloodSemen","",
"fFBeS","nemfík",,"female ego‘s father‘s brother‘s older son",,,"bloodSemen","",
"fFByS","nemning",,"female ego‘s father‘s brother‘s younger son",,,"bloodSemen","",
"fFBeD","nemyén",,"female ego‘s father‘s brother‘s older daughter",,,"bloodSemen","",
