"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment","comment.1"
"meB","yarisé",,"male ego's older brother",,,"collier1983Tabla","nero denotes elder or younger but not the eldest or younges",
"myB","metona",,"male ego's younger brother",,,"collier1983Tabla","nero denotes elder or younger but not the eldest or younges",
"feB","yarisé",,"female ego's older brother",,,"collier1983Tabla","nero denotes elder or younger but not the eldest or younges",
"fyB","metona",,"female ego's younger brother",,,"collier1983Tabla","nero denotes elder or younger but not the eldest or younges",
"meZ","yarisé",,"male ego's older sister",,,"collier1983Tabla","nero denotes elder or younger but not the eldest or younges",
"myZ","metona",,"male ego's younger sister",,,"collier1983Tabla","nero denotes elder or younger but not the eldest or younges",
"feZ","yarisé",,"female ego's older sister",,,"collier1983Tabla","nero denotes elder or younger but not the eldest or younges",
"fyZ","metona",,"female ego's younger sister",,,"collier1983Tabla","nero denotes elder or younger but not the eldest or younges",
"mF","memai",,"male ego's father",,,"collier1983Tabla","",
"mM","naméng",,"male ego's mother",,,"collier1983Tabla","",
"fF","memai",,"female ego's father",,,"collier1983Tabla","",
"fM","naméng",,"female ego's mother",,,"collier1983Tabla","",
"mS","yéi",,"male ego's son",,,"collier1983Tabla","",
"fS","yéi",,"female ego's son",,,"collier1983Tabla","",
"mD","yéi",,"male ego's daughter",,,"collier1983Tabla","",
"fD","yéi",,"female ego's daughter",,,"collier1983Tabla","",
"mSS","doti",,"male ego's son's son",,,"collier1983Tabla","",
"mSD","doti",,"male ego's son's daughter",,,"collier1983Tabla","",
"mDS","doti",,"male ego's daughter's son",,,"collier1983Tabla","",
"mDD","doti",,"male ego's daughter's daughter",,,"collier1983Tabla","",
"fSS","doti",,"female ego's son's son ",,,"collier1983Tabla","",
"fSD","doti",,"female ego's son's daughter ",,,"collier1983Tabla","",
"fDS","doti",,"female ego's daughter's son ",,,"collier1983Tabla","",
"fDD","doti",,"female ego's daugher's daughter ",,,"collier1983Tabla","",
"mFF","sese",,"male ego's father‘s father",,,"collier1983Tabla","",
"mFM","keméng",,"male ego's father's mother",,,"collier1983Tabla","",
"mMF","sese",,"male ego's mother's father",,,"collier1983Tabla","",
"mMM","keméng",,"male ego's mother's mother",,,"collier1983Tabla","",
"fFF","sese",,"female ego's father's father ",,,"collier1983Tabla","",
"fFM","keméng",,"female ego's father's mother ",,,"collier1983Tabla","",
"fMF","sese",,"female ego's mother's father ",,,"collier1983Tabla","",
"fMM","keméng",,"female ego's mother's mother ",,,"collier1983Tabla","",
"meBS","yéi",,"male ego's older brother's son ",,,"collier1983Tabla","",
"myBS","yéi",,"male ego's younger brother's son ",,,"collier1983Tabla","",
"meZS","syo",,"male ego's older sister's son ",,,"collier1983Tabla","",
"myZS","syo",,"male ego's younger sister's son ",,,"collier1983Tabla","",
"meBD","yéi",,"male ego's older brother's daughter ",,,"collier1983Tabla","",
"myBD","yéi",,"male ego's younger brother's daughter ",,,"collier1983Tabla","",
"meZD","syo",,"male ego's older sister's daughter ",,,"collier1983Tabla","",
"myZD","syo",,"male ego's younger sister's daughter ",,,"collier1983Tabla","",
"feBS","yéi",,"female ego's older brother's son ",,,"collier1983Tabla","",
"fyBS","yéi",,"female ego's younger brother's son ",,,"collier1983Tabla","",
"feZS","yéi",,"female ego's older sister's son ",,,"collier1983Tabla","",
