"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment","comment.1"
"meB","angra komuno",,"male ego's older brother",,,"reay1957kuma","komuno ""elder""","missing?"
"myB","angra oguo",,"male ego's younger brother",,,"reay1957kuma","oguo ""younger""",""
"feB","angra komuno",,"female ego's older brother",,,"reay1957kuma","",""
"fyB","angra oguo",,"female ego's younger brother",,,"reay1957kuma","",""
"meZ","ambara komuno",,"male ego's older sister",,,"reay1957kuma","",""
"myZ","ambara oguo",,"male ego's younger sister",,,"reay1957kuma","",""
"feZ","ambara komuno",,"female ego's older sister",,,"reay1957kuma","",""
"fyZ","ambara oguo",,"female ego's younger sister",,,"reay1957kuma","",""
"mF","nina",,"male ego's father",,,"reay1957kuma","",""
"mM","mana",,"male ego's mother",,,"reay1957kuma","",""
"fF","nina",,"female ego's father",,,"reay1957kuma","",""
"fM","mana",,"female ego's mother",,,"reay1957kuma","",""
"mS","wana",,"male ego's son",,,"reay1957kuma","",""
"fS","wana",,"female ego's son",,,"reay1957kuma","",""
"mD","ambura",,"male ego's daughter",,,"reay1957kuma","",""
"fD","ambura",,"female ego's daughter",,,"reay1957kuma","",""
"mSS","gawana",,"male ego's son's son",,,"reay1957kuma","",""
"mSD","gawana",,"male ego's son's daughter",,,"reay1957kuma","",""
"mDS","kombona",,"male ego's daughter's son",,,"reay1957kuma","",""
"mDD","kombona",,"male ego's daughter's daughter",,,"reay1957kuma","inferred from the data",""
"fSS","gawana",,"female ego's son's son",,,"reay1957kuma","",""
"fSD","gawana",,"female ego's son's daughter",,,"reay1957kuma","",""
"fDS","gawana",,"female ego's daughter's son",,,"reay1957kuma","",""
"fDD","gawana",,"female ego's daugher's daughter",,,"reay1957kuma","",""
"mFF","yaglawa",,"male ego's father‘s father",,,"reay1957kuma","",""
"mFM","awana",,"male ego's father's mother",,,"reay1957kuma","",""
"mMF","yaglawa",,"male ego's mother's father",,,"reay1957kuma","",""
"mMM","awana",,"male ego's mother's mother",,,"reay1957kuma","",""
